x1,x2,Z_value
-0.85,-4.25,-1.0
-0.85,-4.1875,-1.0
-0.85,-4.125,-1.0
-0.85,-4.0625,-1.0
-0.85,-4.0,-1.0
-0.85,-3.9375,-1.0
-0.85,-3.875,-1.0
-0.85,-3.8125,-1.0
-0.85,-3.75,-1.0
-0.85,-3.6875,-1.0
-0.85,-3.625,-1.0
-0.85,-3.5625,-1.0
-0.85,-3.5,-1.0
-0.85,-3.4375,-1.0
-0.85,-3.375,-1.0
-0.85,-3.3125,-1.0
-0.85,-3.25,-1.0
-0.85,-3.1875,-1.0
-0.85,-3.125,-1.0
-0.85,-3.0625,-1.0
-0.85,-3.0,-1.0
-0.85,-2.9375,-1.0
-0.85,-2.875,-1.0
-0.85,-2.8125,-1.0
-0.85,-2.75,-1.0
-0.85,-2.6875,-1.0
-0.85,-2.625,-1.0
-0.85,-2.5625,-1.0
-0.85,-2.5,-1.0
-0.85,-2.4375,-1.0
-0.85,-2.375,-1.0
-0.85,-2.3125,-1.0
-0.85,-2.25,-1.0
-0.85,-2.1875,-1.0
-0.85,-2.125,-1.0
-0.85,-2.0625,-1.0
-0.85,-2.0,-1.0
-0.85,-1.9375,-1.0
-0.85,-1.875,-1.0
-0.85,-1.8125,-1.0
-0.85,-1.75,-1.0
-0.85,-1.6875,-1.0
-0.85,-1.625,-1.0
-0.85,-1.5625,-1.0
-0.85,-1.5,-1.0
-0.85,-1.4375,-1.0
-0.85,-1.375,-1.0
-0.85,-1.3125,-1.0
-0.85,-1.25,-1.0
-0.85,-1.1875,-1.0
-0.85,-1.125,-1.0
-0.85,-1.0625,-1.0
-0.85,-1.0,-1.0
-0.85,-0.9375,-1.0
-0.85,-0.875,-1.0
-0.85,-0.8125,-1.0
-0.85,-0.75,-1.0
-0.85,-0.6875,-1.0
-0.85,-0.625,-1.0
-0.85,-0.5625,-1.0
-0.85,-0.5,-1.0
-0.85,-0.4375,-1.0
-0.85,-0.375,-1.0
-0.85,-0.3125,-1.0
-0.85,-0.25,-1.0
-0.85,-0.1875,-1.0
-0.85,-0.125,-1.0
-0.85,-0.0625,-1.0
-0.85,0.0,-1.0
-0.85,0.0625,-1.0
-0.85,0.125,-1.0
-0.85,0.1875,-1.0
-0.85,0.25,-1.0
-0.85,0.3125,-1.0
-0.85,0.375,-1.0
-0.85,0.4375,-1.0
-0.85,0.5,-1.0
-0.85,0.5625,-1.0
-0.85,0.625,-1.0
-0.85,0.6875,-1.0
-0.85,0.75,-1.0
-0.85,0.8125,-1.0
-0.85,0.875,-1.0
-0.85,0.9375,-1.0
-0.85,1.0,-1.0
-0.85,1.0624999999999998,-1.0
-0.85,1.1250000000000002,-1.0
-0.85,1.1875,-1.0
-0.85,1.25,-1.0
-0.85,1.3125,-1.0
-0.85,1.3749999999999998,-1.0
-0.85,1.4375000000000002,-1.0
-0.85,1.5,-1.0
-0.85,1.5625,-1.0
-0.85,1.625,-1.0
-0.85,1.6874999999999998,-1.0
-0.85,1.7500000000000002,-1.0
-0.85,1.8125,-1.0
-0.85,1.875,-1.0
-0.85,1.9375,-1.0
-0.85,1.9999999999999998,-1.0
-0.85,2.0625,-1.0
-0.85,2.125,-1.0
-0.85,2.1875,-1.0
-0.85,2.25,-1.0
-0.85,2.3125,-1.0
-0.85,2.375,-1.0
-0.85,2.4375,-1.0
-0.85,2.5,-1.0
-0.85,2.5625,-1.0
-0.85,2.625,-1.0
-0.85,2.6875,-1.0
-0.85,2.75,-1.0
-0.85,2.8125,-1.0
-0.85,2.875,-1.0
-0.85,2.9375,-1.0
-0.85,3.0,-1.0
-0.85,3.0625,-1.0
-0.85,3.125,-1.0
-0.85,3.1875,-1.0
-0.85,3.25,-1.0
-0.85,3.3125,-1.0
-0.85,3.375,-1.0
-0.85,3.4375,-1.0
-0.85,3.5,-1.0
-0.85,3.5625,-1.0
-0.85,3.625,-1.0
-0.85,3.6875,-1.0
-0.85,3.75,-1.0
-0.85,3.8125,-1.0
-0.85,3.875,-1.0
-0.85,3.9375,-1.0
-0.85,4.0,-1.0
-0.85,4.0625,-1.0
-0.85,4.125,-1.0
-0.85,4.1875,-1.0
-0.85,4.25,-1.0
-0.85,4.3125,-1.0
-0.85,4.375,-1.0
-0.85,4.4375,-1.0
-0.85,4.5,-1.0
-0.85,4.5625,-1.0
-0.85,4.625,-1.0
-0.85,4.6875,-1.0
-0.85,4.75,-1.0
-0.85,4.8125,-1.0
-0.85,4.875,-1.0
-0.85,4.9375,-1.0
-0.85,5.0,-1.0
-0.8125,-5.0,-1.0
-0.8125,-4.9375,-1.0
-0.8125,-4.875,-1.0
-0.8125,-4.8125,-1.0
-0.8125,-4.75,-1.0
-0.8125,-4.6875,-1.0
-0.8125,-4.625,-1.0
-0.8125,-4.5625,-1.0
-0.8125,-4.5,-1.0
-0.8125,-4.4375,-1.0
-0.8125,-4.375,-1.0
-0.8125,-4.3125,-1.0
-0.8125,-4.25,-1.0
-0.8125,-4.1875,-1.0
-0.8125,-4.125,-1.0
-0.8125,-4.0625,-1.0
-0.8125,-4.0,-1.0
-0.8125,-3.9375,-1.0
-0.8125,-3.875,-1.0
-0.8125,-3.8125,-1.0
-0.8125,-3.75,-1.0
-0.8125,-3.6875,-1.0
-0.8125,-3.625,-1.0
-0.8125,-3.5625,-1.0
-0.8125,-3.5,-1.0
-0.8125,-3.4375,-1.0
-0.8125,-3.375,-1.0
-0.8125,-3.3125,-1.0
-0.8125,-3.25,-1.0
-0.8125,-3.1875,-1.0
-0.8125,-3.125,-1.0
-0.8125,-3.0625,-1.0
-0.8125,-3.0,-1.0
-0.8125,-2.9375,-1.0
-0.8125,-2.875,-1.0
-0.8125,-2.8125,-1.0
-0.8125,-2.75,-1.0
-0.8125,-2.6875,-1.0
-0.8125,-2.625,-1.0
-0.8125,-2.5625,-1.0
-0.8125,-2.5,-1.0
-0.8125,-2.4375,-1.0
-0.8125,-2.375,-1.0
-0.8125,-2.3125,-1.0
-0.8125,-2.25,-1.0
-0.8125,-2.1875,-1.0
-0.8125,-2.125,-1.0
-0.8125,-2.0625,-1.0
-0.8125,-2.0,-1.0
